talent_current_position,talent_employment_current_position_2,talent_employment_position_2,talent_employment__position_3
Founding Partner,Co-Founder & CEO,CEO & Co Founder,Director - Quantitative Trading
Senior Director Head of People,Board of Directors,Director of People Culture & Opportunity,Senior Director of Strategic Programs
Senior Technical Recruiter,Lead Technical Recruiter,Head of Talent,Lead Technical Recruiter
,,Chief Of Staff / Director of Business Ops,Head Of Operations
CEO and Co-Founder,Ambassador,General Manager & Founding Team Member,Director of Online Business Development
VP Product,,Vice President Product,Sr. Director Product Management
Vice President People,,Chief Human Resources Officer,Vice President Human Resources
Director - Events & Sports Marketing,,General Manager - Soccer,Executive Director
Chief Executive Officer,,SSL Chief Executive Officer & Maxar Group President,Member of the Board of Directors
SVP Networking,Investor,Product Executive Technical Infrastructure,Transitional CEO
,,Director of Operations,
Co-founder & Chief Development Officer,,SW Director & Member of the founding team,Lead Software Engineer
Senior Manager - HR & TA,,Principal Technical Recruiter,Manager - Recruitment
CEO | Co-founder,Mentor,Board of Directors Member,Board of Directors Member
Chief Revenue Officer (CRO),Member,General Manager,Head EMEA GTM Strategy and Operations
People Operations,,Director of People Operations,VP People Operations
VP Strategy & Corporate Development | Chief of Staff to CEO,Sr. Director GTM Enablement,Director Head of GTM Strategy,VP Head of GTM Enablement
COO,,COO & CO-FOUNDER,VICE PRESIDENT OPERATIONS
Director of Talent Acquisition,,Global Talent Acquisition Manager,Director of Talent Acquisition
Founder and CEO,,President,Executive Vice President and Chief Marketing Officer
Founder and CTO,,Senior Product Manager,Vice President- Engineering
Manager Human Resources,HRM & OM,Manager Recruitment,Head  IT Recruiter
CEO & Co-Founder,,,
Vice President North America,,Associate Digital Product Manager,Marketing Assistant / Community Manager
Business Development,Assistant Vice President Operations and Business Development ,International Business Development,Account Manager
Director Of Operations,,Business Analyst,Sr. Learning Services Specialist CCWP
Chief Academic & Experience Officer,Keynote Speaker,Founder,Head of Consumer Experience Digital Products
Global Director Of Implementation,,Vice President Project & Program Implementation,National Sales Training Manager
Partner,,Director,CFO
Founder & CEO,,Counsel,Board Member
Chief Executive Officer,,,
Senior Director of Organizational Psychology,I/O Psychologist Inclusion Learning and Leadership ,Learning and Development Consultant,Diversity Recruiting Enablement Consultant
External Head of Talent Recruitment Advisor Talent Consulting & Strategy ,Founder & CEO,Talent Acquisition Manager,Client Services (Contract)
Independent Associate and Real Estate Investor,Ambassador,Co-Founder,Board Member
Founder & CEO SOAR STEM Schools,CEO & Chairman,Founder and Chairman,Co-Founder and CEO
VP of Growth,,Founding Partner,Director Growth Marketing 
CEO,,Manager Google Apps Account Management and Deployment,Technology and Security Risk Services Intern
Co-founder & CTO,,Senior Inside Sales Representative Enterprise,Online Sales Strategist - Enterprise
Head Of Partnerships,,Head of Strategic Partnerships,VP Business Development North America
Vice President Finance and Admin,,VP Finance & Administration / Corporate Controller,Corporate Controller / Director of Finance
Founder & Chief Executive Officer,,Chief Technology Officer,Senior Director Hardware Engineering
Chief Operating Officer,Part-Time Faculty,Member Of The Board Of Advisors,Senior Vice President Operations
Director of Enablement,,Director SalesOps and Marketing Programs,Sr. Marketing Consultant
Co-founder and President Technology (Happy Cog was previously called Vector Media Group),,,
President Operations and Fulfillment,,Full Stack Web Developer,Director of Technology
Vice President - Human Capital & Administration,,Head - HR ,Regional Human Resources Director
Founder,Chief Executive Officer,Data Analytics Consulting,Information Management Advisory Services 
Enterprise Advisor,Co-Founder,Chief Technology Officer,Senior Consultant
Chief Executive Officer,,,
VP Product Development,Customer Success Manager,Managing Director,
Co-Founder/CEO,Member and Contributor,Partner Technology Manager,CTO
Co-Founder / CTO,,Senior Software Engineer,Web Application Engineer
Chief People Officer,,Chief People Officer,Founder
Founder CEO,,Manager Online Content,
Senior Manager of People Operations,,Senior People Partner,Manager of People Operations
Technical Recruiting Leader,,Senior Manager of Recruiting,Branch Manager - IT Direct-Hire
Founder & CEO,Mentor,Advisor,Advisor
LA Social Media Marketing & Promotional Networking,Scouter & Booker for Live Music/Bands at House of Blues Troubadour Viper Room etc.,,
VP - Head of Digital Transformation Data and Analytics,,VP - Head of Partnerships BT and Architecture ,Senior Director - Software Architecture
Chief People Officer,,Vice President Human Resources,Head of Human Resources
Vice President,,Analyst,Account Manager
Immediate Past Chair,Director Board of Directors,,
Chief Of Staff,,Director Chief of Staff/Business Operations Manager Essential Health Products,Vice President Wealth Management
CEO and Founder,,Vice Chair Board of Trustees,Director (Senior Partner)
Chief People Officer,Startup/Scale-up People Ops Advisor,Learning and Development Specialist,Chief People Officer
Chief Growth Officer,Member Board Of Directors,Consultant,Chief Operating Officer
Director of Talent Recruiting  ,,Senior Recruiter,Recruiter
Co-founder & CEO,,Advisor,Co-Founder and Director
Co-Founder and CPTO,,Co-Founder and CTO,Co-Founder
Talent Management ,Vice President,Vice President Consulting Services North America,Account Executive
CEO,Advisor,Head of Mobile,Creator & Facilitator
Head of Talent Acquisition,,Director of Talent Acquisition,Senior Technical Recruiter
,,Operations Associate,Operations Manager
Founder CEO Board Member,,Founder Chief Operating Officer Board Member,Packaging Materials Intern
Chief Operating Officer,,Founding Partner,CEO
Co-Founder & CEO,,Director Product Management (Groupon Goods),Head of Global Affiliates
VP of People at Blueshift,,HR Consultant,Head of Human Resources
Advisor,Vice President Sales Operations,Sr Director of Global Sales Operations,Senior Director of Go-To-Market Operations
President and COO,,Member Board of Directors,CEO of GAN Integrity
Chief People Officer,,People Advisor,Senior Vice President Head of Human Resources Americas
SVP Revenue,Member,Chief Sales Officer,SVP Worldwide Sales
Head of Global Talent @ Chartboost ,Head of Global Talent @ Chartboost ,Recruiter,Recruiting Manager
CEO,,COO,CFO & SVP Operations
Vice President People & Head of Talent Acquisition,Vice President People,Consultant Global Fundraising Talent Practice,Yoga Teacher
Chief Diversity Equity Inclusion and Culture Officer,,Head of Talent Strategy and Management,Director Head of Human Resources
VP of Human Resources,VP of Global People Operations,Assistant Vice President Human Resources ,Human Resources Administrator
Chief Operating Officer,,Chief Risk Officer,Head of Global Treasury and Operations
CEO,,Chief Operating Officer,Chief Client Officer
Chief Operating Officer,,Founder and CEO,Sr. Director Product Development
Director of Human Resources,,HR Manager,HR Consultant
Co-founder and CEO,,Senior Manager,Engagement Partner Accenture Strategy
Chief Operating Officer,,Global Vice President Sales Acceleration ,Vice President North America - ERP Cloud  
Director of Strategy & Operations,Customer Value Chief of Staff,Associate Director Strategy & Operations,Associate Digital Strategy Group
Executive Vice President and Chief  Operating Officer,,,
Chief Credit Officer ,,Senior Vice President - Lead Credit Officer,Vice President Commercial Credit & Global Risk Management
President & CEO,,Manager,SVP & Corporate Controller
Co-founder & CEO,CEO & Executive Director (via Nuivio Ventures),Co-founder & CEO,Business Head – Retail Travel & Media Industry Groups
Founder & CEO,Member,Founding partner and CEO (Acquired),
People Ops Manager,,Director People Operations,Human Resources Director
Vice President Finance,,Vice President Finance & Operations,Vice President Business Development
HR,Section Chief,,
President and CEO,Collaborator,Executive Director Computing and Information Technology,Systems Analyst
Executive Assistant To Chief Executive Officer,Human Resources Manager & Office Administrative Director,Executive Assistant to the CEO and Interim Human Resources Manager,Executive Assistant to CEO and Interim Human Resources Manager 
General Counsel Corporate Secretary Co-Chair Diversity and Inclusion Committee,SVP Corporate and Regulatory Counsel,Vice President & Associate General Counsel Global Head of Regulatory Affairs,Of Counsel
Chief Brand and Talent Officer,,Head of Product Marketing,Managing Director Global Wealth Management Marketing
Vice President Of Recruitment,,Campus Director,Campus Ambassador
Associate Vice President & Chief Digital Learning Officer,,Executive Director EdgeLearn,e-Learning Consultant
Director HR,,HR Business Partner,HR Generalist & Global Talent Acquisition Partner
Principal Owner,Member,,
Technical Recruiter (Hiring for Infrastructure Team) ,,Head of Tech Recruitment,Talent Partner -MatcHR @ Hazelcast
Director of SaaS Managed Services @Successware,,Director Managed Services,Senior Program Manager
EVP Chief Operating Officer ,,SVP Director of Bank Operations,Chief Operating Officer
CFO and COO,Strategic Advisor,Chief Executive Officer,Chief Operating Officer and Chief Financial Officer
Board Of Directors,,Chief Executive Officer,
Chairman & CEO,Founder,,
CEO,Chief Strategy Officer (CSO),COO,Free lancer - system architecture
Vice President Human Resources,Vice President Human Resources,Associate Director - HR Manager,
President & Chief Executive Officer,,Attorney,Strategic Ventures Group/Risk Management
Chief Operating Officer,Senior Vice President General Counsel & Chief Administrative Officer,Senior Vice President Chief Risk Officer & Head of Government Affairs,Partner
Senior Director Human Resources,,Director of Human Resources,Staff HR Specialist
Chief of Staff,,Business Analyst,Analyst
Chief Financial Officer,,Chief Financial Officer,Chief Financial Officer
Global Vice President - Marketing & CISO Relations,GM CISO Street,Director - U.S. Sales,Vice President Sales North America/Asia
Chief Executive Officer,,Chief Executive Officer - Arxan Technologies (acquired by TPG Capital to form Digital.ai),Chief Executive Officer - Harmony Information Systems Inc. (acquired by WellSky)
HR Consultant,Senior HR Consultant,Head of People,Senior Human Resources Consultant
Co-Founder CEO,,Co-Founder CTO,VP R&D Co-Founder
,,Vice President Human Resources,Senior Director of People
Vice President of People,,Chief Human Resources Officer,Senior Manager Human Resources and Recruiting
Vice President of People Operations,Adjunct Professor,Vice President of People Science,Senior Career (HR & OD) Consultant
CEO Founder,,SVP Product Management & Product Marketing,VP Product Management
Founder & CEO,Innovation Fellow @ Eugene Lang Entrepreneurship Center,Investor & Advisor,Co-Founder VP & General Manager Canada
Chairman of the Board (Active) CEO since January 2019,Board Member,Board Member,Chairman & CEO and Founder
Founder - CEO,,Founder - Chairman,Founder - CEO
Chief Executive Officer,,Chief Administrative Officer Wealth Advisory,Director of Private Banking and Advisory
